N,Processes,Chunk_Size,Computation_Time_sec,Communication_Time_sec,Overall_Time_sec
10000000,8,64,1.598362,0.357551,1.803242
11000000,8,64,1.602517,0.149865,1.775003
12000000,8,64,1.702954,0.113886,1.920808
13000000,8,64,1.912891,0.114228,2.139937
14000000,8,64,2.118033,0.129891,2.364854
15000000,8,64,2.452306,0.198391,2.706797
16000000,8,64,2.570509,0.152576,2.841247
17000000,8,64,2.787348,0.155390,3.084305
18000000,8,64,3.280553,0.429322,3.626223
19000000,8,64,3.268198,0.163731,3.601094
20000000,8,64,3.512682,0.191000,3.888429
21000000,8,64,3.772061,0.198550,4.118792
22000000,8,64,4.016037,0.190932,4.396244
23000000,8,64,4.274202,0.197904,4.686106
24000000,8,64,4.555843,0.203041,4.943117
25000000,8,64,4.811690,0.199567,5.231826
26000000,8,64,5.100370,0.201587,5.519074
27000000,8,64,5.375332,0.212714,5.817883
28000000,8,64,6.549349,0.709571,6.983740
29000000,8,64,5.960327,0.240692,6.428183
30000000,8,64,6.254309,0.233359,6.739382
31000000,8,64,6.541866,0.254177,7.046977
32000000,8,64,6.839374,0.242421,7.344599
33000000,8,64,7.149104,0.277055,7.684534
34000000,8,64,7.466189,0.243537,7.987614
35000000,8,64,7.941943,0.430465,8.508142
36000000,8,64,8.081329,0.283453,8.654803
37000000,8,64,8.412118,0.323666,9.010827
38000000,8,64,8.736855,0.300570,9.345343
39000000,8,64,9.081289,0.331933,9.794539
40000000,8,64,9.414217,0.475305,10.716198
