Processes,Rank,Jobs,Computation_Time_sec
1,0,19999999,14.395069511
2,0,10000000,7.201398167
2,1,9999999,7.203738720
4,0,5000000,3.604662294
4,1,5000000,3.603695045
4,2,5000000,3.603845990
4,3,4999999,3.603976056
8,0,2500000,1.805496412
8,1,2500000,1.806394750
8,2,2500000,1.806417914
8,3,2500000,1.809856462
8,4,2500000,1.808672995
8,5,2500000,1.810414506
8,6,2500000,1.806316472
8,7,2499999,1.809125321
16,0,1250000,0.938003590
16,1,1250000,1.263384524
16,2,1250000,0.939465001
16,3,1250000,0.938852675
16,4,1250000,0.937644691
16,5,1250000,0.937375493
16,6,1250000,1.176699712
16,7,1250000,1.264104524
16,8,1250000,0.936827267
16,9,1250000,0.937071849
16,10,1250000,0.937700877
16,11,1250000,0.945121671
16,12,1250000,1.174496228
16,13,1250000,0.937908431
16,14,1250000,0.938660712
16,15,1249999,0.939492614
32,0,625000,0.454945568
32,1,625000,0.455166986
32,2,625000,0.454502731
32,3,625000,0.454018626
32,4,625000,0.454959493
32,5,625000,0.455583763
32,6,625000,0.454659807
32,7,625000,0.455774935
32,8,625000,0.454565649
32,9,625000,0.453945257
32,10,625000,0.453387803
32,11,625000,0.455934987
32,12,625000,0.454673102
32,13,625000,0.455021521
32,14,625000,0.454419053
32,15,625000,0.454830710
32,16,625000,0.455152433
32,17,625000,0.456837523
32,18,625000,0.462386550
32,19,625000,0.454695983
32,20,625000,0.456063723
32,21,625000,0.455899703
32,22,625000,0.456062451
32,23,625000,0.456056650
32,24,625000,0.455083343
32,25,625000,0.455350908
32,26,625000,0.460475656
32,27,625000,0.455984744
32,28,625000,0.455413025
32,29,625000,0.461539824
32,30,625000,0.464301564
32,31,624999,0.456175113
64,0,312500,0.443566553
64,1,312500,0.438059567
64,2,312500,0.436396885
64,3,312500,0.441820684
64,4,312500,0.441177138
64,5,312500,0.443327362
64,6,312500,0.438271407
64,7,312500,0.434216855
64,8,312500,0.438691631
64,9,312500,0.443716728
64,10,312500,0.439331000
64,11,312500,0.444614494
64,12,312500,0.441226492
64,13,312500,0.440297987
64,14,312500,0.441771953
64,15,312500,0.414509684
64,16,312500,0.232563506
64,17,312500,0.231696720
64,18,312500,0.233183505
64,19,312500,0.230392821
64,20,312500,0.231149799
64,21,312500,0.233372612
64,22,312500,0.235114037
64,23,312500,0.230477530
64,24,312500,0.234022107
64,25,312500,0.233077816
64,26,312500,0.234970617
64,27,312500,0.232062941
64,28,312500,0.234542208
64,29,312500,0.232838775
64,30,312500,0.231707340
64,31,312500,0.234098551
64,32,312500,0.355677707
64,33,312500,0.235415493
64,34,312500,0.234954092
64,35,312500,0.232112017
64,36,312500,0.354578442
64,37,312500,0.234857680
64,38,312500,0.234944023
64,39,312500,0.232312495
64,40,312500,0.233350073
64,41,312500,0.233989090
64,42,312500,0.234603119
64,43,312500,0.234595846
64,44,312500,0.231976821
64,45,312500,0.234824748
64,46,312500,0.233995732
64,47,312500,0.231654834
64,48,312500,0.441925000
64,49,312500,0.444451602
64,50,312500,0.447769657
64,51,312500,0.445195185
64,52,312500,0.440902710
64,53,312500,0.441264935
64,54,312500,0.439913141
64,55,312500,0.444743423
64,56,312500,0.448288567
64,57,312500,0.446052715
64,58,312500,0.443398583
64,59,312500,0.444278084
64,60,312500,0.447543600
64,61,312500,0.444380256
64,62,312500,0.452152243
64,63,312499,0.445357652
