N,Processes,Computation_Time_sec,Communication_Time_sec,Overall_Time_sec
10000000,16,,,
11000000,16,,,
12000000,16,,,
13000000,16,,,
14000000,16,,,
15000000,16,,,
16000000,16,,,
17000000,16,,,
18000000,16,,,
19000000,16,,,
20000000,16,,,
21000000,16,,,
22000000,16,,,
23000000,16,,,
24000000,16,,,
25000000,16,,,
26000000,16,,,
27000000,16,,,
28000000,16,,,
29000000,16,,,
30000000,16,,,
31000000,16,,,
32000000,16,,,
33000000,16,,,
34000000,16,,,
35000000,16,,,
36000000,16,,,
37000000,16,,,
38000000,16,,,
39000000,16,,,
40000000,16,,,
