N,Threads,Computational_Time_sec,Overall_Time_sec
10000000,8,0.636137,4.852631
11000000,8,0.746998,5.505702
12000000,8,0.824462,5.944425
13000000,8,0.944655,6.496748
14000000,8,1.049140,7.207509
15000000,8,1.147187,7.893388
16000000,8,1.224956,8.171075
17000000,8,1.329507,8.759007
18000000,8,1.449982,9.293272
19000000,8,1.518984,9.802963
20000000,8,1.680960,10.423169
21000000,8,1.797823,11.091444
22000000,8,1.939008,11.433003
23000000,8,2.081994,12.107308
24000000,8,2.171900,12.550216
25000000,8,2.257430,13.036192
26000000,8,2.408668,13.605017
27000000,8,2.619500,14.134100
28000000,8,2.683340,15.657586
29000000,8,2.792469,15.189227
30000000,8,2.998184,15.934395
31000000,8,3.083781,16.540745
32000000,8,3.253953,16.977165
33000000,8,3.456566,17.453585
34000000,8,3.504031,18.194546
35000000,8,3.725431,18.789056
36000000,8,3.900128,19.311962
37000000,8,4.073884,19.876502
38000000,8,4.181089,20.697931
39000000,8,5.340420,27.464954
40000000,8,5.825497,26.984642
