N,Computational_Time_sec,Overall_Time_sec
10000000,2.053602,6.330744
11000000,2.324383,7.062102
12000000,2.632494,7.773057
13000000,2.950494,8.548219
14000000,3.336218,9.458387
15000000,3.672378,10.165730
16000000,3.970950,10.868099
17000000,4.383696,11.827768
18000000,4.750217,12.520713
19000000,5.061636,13.489531
20000000,5.553995,14.404105
21000000,5.863897,15.153648
22000000,6.183552,15.687502
23000000,6.577720,16.669619
24000000,7.076540,18.473986
25000000,7.957819,19.775859
26000000,8.175224,20.975537
27000000,8.583855,22.194636
28000000,9.124700,21.615429
29000000,9.619424,22.898952
30000000,9.971707,24.867478
31000000,10.108177,23.665981
32000000,10.615405,24.610471
33000000,11.117129,25.408716
34000000,11.624790,26.452729
