N,Processes,Threads,Total_Workers,Computational_Time_sec,Communication_Time_sec,Overall_Time_sec
10000000,8,16,128,0.036767158,0.109597436,0.217304862
11000000,8,16,128,0.038071352,0.122257045,0.237321528
12000000,8,16,128,0.043900851,0.129933100,0.259644160
13000000,8,16,128,0.038452942,0.189108771,0.331150206
14000000,8,16,128,0.047849028,0.147120322,0.311778255
15000000,8,16,128,0.051712325,0.159751237,0.350264187
16000000,8,16,128,0.054508856,0.170274030,0.352004452
17000000,8,16,128,0.055656253,0.156173731,0.335788903
18000000,8,16,128,0.060425971,0.181385205,0.384533631
19000000,8,16,128,0.057456051,0.283158014,0.503440626
20000000,8,16,128,0.063307743,0.188832951,0.424158814
21000000,8,16,128,0.062810003,0.344609150,0.572645723
22000000,8,16,128,0.070916122,0.206906745,0.440697152
23000000,8,16,128,0.077838289,0.419238437,0.672212849
24000000,8,16,128,0.080409074,0.520989754,0.791548105
25000000,8,16,128,0.081834644,0.195164959,0.469402555
26000000,8,16,128,0.092398471,0.215998927,0.485625755
27000000,8,16,128,0.089721007,0.509759293,0.785488046
28000000,8,16,128,0.089570303,0.407431056,0.691305684
29000000,8,16,128,0.100267995,0.256946519,0.543330196
30000000,8,16,128,0.104875840,0.460684430,0.780129946
31000000,8,16,128,0.113376777,0.280832802,0.605169892
32000000,8,16,128,0.113045000,0.713940511,1.038923336
33000000,8,16,128,0.175122480,0.299161718,0.637861882
34000000,8,16,128,0.121936751,0.499889573,0.846060882
35000000,8,16,128,0.122544779,0.649656906,1.000306122
36000000,8,16,128,0.130002551,0.695709881,1.053015206
37000000,8,16,128,0.141112016,0.303290176,0.666494257
38000000,8,16,128,0.134498014,0.300561492,0.671060399
39000000,8,16,128,0.148748370,0.322836891,0.715306710
40000000,8,16,128,0.153068891,0.375325492,0.773017549
