N,Processes,Computation_Time_sec,Communication_Time_sec,Overall_Time_sec
10000000,128,0.029906,0.176090,0.288867
11000000,128,0.034105,0.185283,0.301864
12000000,128,0.040268,0.215904,0.383535
13000000,128,0.054768,0.205536,0.342294
14000000,128,0.049645,0.246188,0.435230
15000000,128,0.039577,0.229995,0.397031
16000000,128,0.062015,0.275238,0.513055
17000000,128,0.065196,0.279625,0.495713
18000000,128,0.073995,0.289380,0.488674
19000000,128,0.074718,0.299999,0.545389
20000000,128,0.081106,0.333087,0.566472
21000000,128,0.091622,0.336354,0.590268
22000000,128,0.092119,0.360223,0.742045
23000000,128,0.169598,0.368950,0.604910
24000000,128,0.105472,0.392223,0.662442
25000000,128,0.115294,0.371591,0.657911
26000000,128,0.116140,0.429382,0.734136
27000000,128,0.075541,0.394636,0.686008
28000000,128,0.124060,0.434953,0.764022
29000000,128,0.135131,0.579276,0.905578
30000000,128,0.143459,0.459297,0.808880
31000000,128,0.145759,0.424307,1.346441
32000000,128,0.152216,0.469603,0.788131
33000000,128,0.170589,0.476847,0.810651
34000000,128,0.175761,0.498927,0.846107
35000000,128,0.105615,0.505456,0.901316
36000000,128,0.135027,0.515324,0.914584
37000000,128,0.111954,0.503454,1.363246
38000000,128,0.116885,0.551226,1.382326
39000000,128,0.133043,0.532941,0.972997
40000000,128,0.125604,0.513775,0.935602
