N,Processes,Computation_Time_sec,Communication_Time_sec,Overall_Time_sec
10000000,16,0.132922,0.094414,0.299983
11000000,16,0.147401,0.108078,0.338930
12000000,16,0.169016,0.100808,0.357951
13000000,16,0.188740,0.118678,0.402685
14000000,16,0.209891,0.136174,0.470775
15000000,16,0.231767,0.152925,0.485088
16000000,16,0.250588,0.312671,0.675138
17000000,16,0.291970,0.169970,0.571303
18000000,16,0.305059,0.180241,0.596696
19000000,16,0.321216,0.227205,0.679616
20000000,16,0.342294,0.172832,0.677833
21000000,16,0.368410,0.202318,0.739890
22000000,16,0.394647,0.406003,0.982627
23000000,16,0.438745,0.405843,1.009628
24000000,16,0.449322,0.204340,0.820377
25000000,16,0.489970,0.221658,0.871471
26000000,16,0.500504,0.249569,0.930072
27000000,16,0.527636,0.374111,1.075768
28000000,16,0.553099,0.243867,0.968798
29000000,16,0.582688,0.484667,1.252869
30000000,16,0.926886,0.416628,1.335647
31000000,16,1.013549,0.540680,1.393676
32000000,16,0.902113,0.357644,1.225700
33000000,16,0.950077,0.377677,1.299350
34000000,16,0.758819,0.311615,1.269665
35000000,16,1.008057,0.512303,1.497668
36000000,16,1.156010,0.635954,1.654848
37000000,16,1.122612,0.550122,1.627580
38000000,16,1.074186,0.504094,1.588648
39000000,16,1.314936,0.758814,1.873822
40000000,16,1.014650,0.397760,1.578324
