N,Processes,Threads,Total_Workers,Computational_Time_sec,Communication_Time_sec,Overall_Time_sec
10000000,8,16,128,0.036932198,0.097944050,0.207279919
11000000,8,16,128,0.043105940,0.116811143,0.226263532
12000000,8,16,128,0.049355243,0.112950675,0.242670871
13000000,8,16,128,0.050299273,0.119371769,0.263678906
14000000,8,16,128,0.054722945,0.145683266,0.308457870
15000000,8,16,128,0.061214160,0.230531531,0.416516972
16000000,8,16,128,0.061769676,0.141275765,0.327951275
17000000,8,16,128,0.066079266,0.178039509,0.368417742
18000000,8,16,128,0.070747382,0.171203852,0.367060140
19000000,8,16,128,0.071290457,0.138263166,0.346320899
20000000,8,16,128,0.072542787,0.687118088,0.891519647
21000000,8,16,128,0.076739633,0.211661370,0.416661906
22000000,8,16,128,0.083303052,0.174467736,0.390278586
23000000,8,16,128,0.087831842,0.199623492,0.436583691
24000000,8,16,128,0.089888707,0.185510234,0.430205258
25000000,8,16,128,0.096256294,0.183578978,0.429154473
26000000,8,16,128,0.096690463,0.447627021,0.713740564
27000000,8,16,128,0.103480119,0.202500975,0.471920972
28000000,8,16,128,0.102826886,0.211777140,0.503882536
29000000,8,16,128,0.112373673,0.277501234,0.572816177
30000000,8,16,128,0.116609034,0.234446202,0.568067744
31000000,8,16,128,0.117867729,0.262372600,0.594107495
32000000,8,16,128,0.124114041,0.265149793,0.598294541
33000000,8,16,128,0.129288135,0.582686164,0.916783177
34000000,8,16,128,0.132845949,0.277592208,0.649747148
35000000,8,16,128,0.145139346,0.312182600,0.671685551
36000000,8,16,128,0.147068928,0.779399931,1.140987243
37000000,8,16,128,0.140736610,0.638980891,0.999962379
38000000,8,16,128,0.148818815,0.446446576,0.816700778
39000000,8,16,128,0.161188819,0.278374336,0.667108600
40000000,8,16,128,0.155762314,0.267989244,0.666748432
