N,Processes,Computation_Time_sec,Communication_Time_sec,Overall_Time_sec
10000000,128,0.020375,0.151887,0.311789
11000000,128,0.023448,0.184875,0.301666
12000000,128,0.036087,0.193010,0.329644
13000000,128,0.039686,0.187282,0.326434
14000000,128,0.048371,0.234687,0.376568
15000000,128,0.033713,0.220647,0.391443
16000000,128,0.134308,0.300087,1.325076
17000000,128,0.049402,0.257020,0.430015
18000000,128,0.077180,0.260810,1.212539
19000000,128,0.047302,0.273127,0.473013
20000000,128,0.049429,0.294753,0.513330
21000000,128,0.072775,0.317006,0.534622
22000000,128,0.062354,0.290364,0.540633
23000000,128,0.090114,0.343051,0.592991
24000000,128,0.062801,0.337265,0.602827
25000000,128,0.115122,0.359963,0.615044
26000000,128,0.081989,0.365372,0.626899
27000000,128,0.127712,0.377965,0.661730
28000000,128,0.133748,0.384222,0.720892
29000000,128,0.087518,0.446276,0.722881
30000000,128,0.148135,0.400441,0.681010
31000000,128,0.134366,0.445238,0.747592
32000000,128,0.142488,0.427301,0.729680
33000000,128,0.096336,0.457045,0.775094
34000000,128,0.098386,0.495038,0.821302
35000000,128,0.102977,0.473510,1.516390
36000000,128,0.191475,0.519203,0.863804
37000000,128,0.171520,0.518095,0.902439
38000000,128,0.208492,0.549069,0.937786
39000000,128,0.137082,0.519456,0.934057
40000000,128,0.179157,0.556004,0.991879
